                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6546,                 2.8525,                 1.4685,                 0.3337,                0.30857,                0.23531,                0.12391,                 1.8684,                 2.3561,                 1.4432,              0.0033315,              0.0033315,              0.0033315
                      2,                  1.671,                 2.2824,                 1.4647,                0.34564,                 0.3922,                0.29593,                0.13722,                 1.9451,                 2.1113,                 1.5428,              0.0065329,              0.0065329,              0.0065329
                      3,                 1.8149,                 2.2675,                 1.5729,                0.27688,                0.29676,                 0.2073,                0.10389,                 1.9865,                 2.1963,                 1.5792,              0.0096023,              0.0096023,              0.0096023
                      4,                 1.8376,                 2.1968,                 1.5928,                0.30671,                0.32628,                0.21386,                0.10526,                 1.9505,                 2.3051,                 1.5752,               0.009406,               0.009406,               0.009406
                      5,                 1.7787,                 2.0614,                 1.5535,                0.44581,                0.37677,                0.32656,                 0.1597,                 1.8909,                  1.878,                 1.5292,               0.009208,               0.009208,               0.009208
                      6,                 1.7131,                 1.9567,                 1.5131,                0.33189,                0.34779,                 0.3038,                 0.1511,                 1.8156,                 1.7895,                 1.4795,                0.00901,                0.00901,                0.00901
                      7,                 1.6867,                 1.9033,                  1.487,                0.48619,                 0.4066,                0.37036,                0.19186,                 1.8109,                 1.7648,                 1.4638,               0.008812,               0.008812,               0.008812
                      8,                 1.6537,                 1.8142,                 1.4675,                0.56621,                0.41211,                 0.4501,                0.22995,                 1.7511,                 1.6536,                 1.4207,               0.008614,               0.008614,               0.008614
                      9,                 1.6101,                 1.7345,                 1.4366,                0.53487,                0.46026,                0.44766,                 0.2375,                 1.7195,                 1.5941,                 1.3995,               0.008416,               0.008416,               0.008416
                     10,                 1.6106,                 1.7189,                 1.4319,                0.54282,                0.45387,                0.46282,                0.23736,                 1.7087,                 1.6016,                 1.4008,               0.008218,               0.008218,               0.008218
                     11,                 1.5791,                 1.6676,                 1.4202,                0.60193,                0.46789,                 0.4904,                 0.2634,                 1.6648,                 1.5676,                 1.3633,                0.00802,                0.00802,                0.00802
                     12,                 1.5432,                 1.6284,                 1.3936,                0.55463,                0.46473,                0.48433,                0.26526,                 1.6789,                 1.5439,                 1.3527,               0.007822,               0.007822,               0.007822
                     13,                 1.5726,                 1.6352,                 1.4053,                0.58738,                0.50823,                0.52333,                 0.2885,                 1.6566,                 1.5062,                 1.3477,               0.007624,               0.007624,               0.007624
                     14,                  1.534,                 1.5889,                 1.3869,                0.59928,                0.52852,                0.54579,                0.29736,                 1.6529,                 1.4743,                 1.3425,               0.007426,               0.007426,               0.007426
                     15,                 1.5128,                 1.5429,                 1.3696,                0.62531,                0.49925,                0.53689,                0.29207,                 1.6358,                 1.4641,                 1.3321,               0.007228,               0.007228,               0.007228
                     16,                  1.511,                 1.5292,                 1.3576,                0.60149,                0.52914,                0.52832,                 0.3049,                 1.6289,                 1.4559,                 1.3303,                0.00703,                0.00703,                0.00703
                     17,                 1.5211,                  1.533,                 1.3689,                0.63839,                0.53048,                 0.5764,                0.32524,                 1.5995,                 1.4321,                 1.3189,               0.006832,               0.006832,               0.006832
                     18,                 1.4747,                 1.4674,                 1.3405,                0.63517,                  0.522,                0.58476,                0.32272,                 1.6121,                 1.4232,                 1.3202,               0.006634,               0.006634,               0.006634
                     19,                  1.468,                 1.4615,                 1.3386,                0.65232,                0.55195,                0.58956,                0.32945,                 1.5898,                 1.4007,                  1.306,               0.006436,               0.006436,               0.006436
                     20,                 1.4711,                 1.4608,                 1.3458,                0.63231,                0.54697,                0.58742,                0.33353,                 1.5789,                 1.3951,                 1.3114,               0.006238,               0.006238,               0.006238
                     21,                 1.4669,                 1.4392,                 1.3268,                0.63467,                0.54427,                0.58097,                0.33204,                 1.5644,                  1.383,                 1.2821,                0.00604,                0.00604,                0.00604
                     22,                 1.4422,                 1.4073,                 1.3197,                 0.6315,                 0.5806,                0.59586,                0.35611,                 1.5471,                 1.3504,                 1.2782,               0.005842,               0.005842,               0.005842
                     23,                 1.4472,                 1.4101,                 1.3247,                0.62698,                0.57656,                0.60452,                0.35299,                 1.5512,                 1.3466,                 1.2808,               0.005644,               0.005644,               0.005644
                     24,                 1.4294,                 1.3878,                 1.3115,                0.68849,                0.57325,                0.61781,                 0.3571,                 1.5563,                 1.3255,                 1.2834,               0.005446,               0.005446,               0.005446
                     25,                  1.413,                 1.3558,                 1.3033,                0.69558,                0.56513,                0.62533,                0.36887,                 1.5434,                  1.326,                 1.2775,               0.005248,               0.005248,               0.005248
                     26,                 1.4045,                 1.3522,                 1.2961,                0.69027,                0.59447,                0.64382,                0.36815,                 1.5354,                 1.3133,                 1.2672,                0.00505,                0.00505,                0.00505
                     27,                 1.4116,                 1.3547,                 1.3013,                0.69462,                 0.5723,                0.61731,                0.36705,                 1.5252,                 1.3033,                 1.2595,               0.004852,               0.004852,               0.004852
                     28,                 1.4008,                 1.3512,                 1.2899,                0.67934,                0.58772,                0.62974,                 0.3712,                 1.5209,                 1.3011,                 1.2593,               0.004654,               0.004654,               0.004654
                     29,                 1.3882,                 1.3226,                 1.2854,                0.69636,                0.61869,                0.65238,                0.38677,                 1.5125,                 1.2747,                 1.2494,               0.004456,               0.004456,               0.004456
                     30,                 1.3992,                 1.3286,                 1.2852,                0.71217,                0.59234,                0.65262,                 0.3835,                 1.5156,                 1.2705,                  1.258,               0.004258,               0.004258,               0.004258
                     31,                 1.3994,                 1.3158,                 1.2828,                0.67669,                0.62208,                0.64569,                0.38052,                 1.5071,                 1.2622,                 1.2512,                0.00406,                0.00406,                0.00406
                     32,                 1.3736,                 1.2971,                 1.2744,                0.70146,                0.60948,                0.65103,                0.39462,                 1.5052,                 1.2575,                 1.2507,               0.003862,               0.003862,               0.003862
                     33,                 1.3516,                  1.272,                 1.2641,                0.70884,                 0.6129,                0.65659,                0.39826,                 1.4981,                 1.2495,                 1.2442,               0.003664,               0.003664,               0.003664
                     34,                 1.3666,                 1.2592,                 1.2649,                0.72606,                0.60838,                0.65524,                0.39311,                 1.5025,                 1.2466,                 1.2447,               0.003466,               0.003466,               0.003466
                     35,                 1.3607,                 1.2572,                  1.261,                0.71941,                0.59816,                0.66413,                0.40151,                 1.4937,                 1.2372,                 1.2429,               0.003268,               0.003268,               0.003268
                     36,                  1.342,                 1.2244,                 1.2505,                0.72325,                 0.6083,                 0.6579,                0.39484,                 1.4934,                 1.2316,                 1.2381,                0.00307,                0.00307,                0.00307
                     37,                 1.3382,                 1.2349,                 1.2511,                0.72348,                0.60495,                0.66155,                0.39951,                 1.4947,                 1.2249,                 1.2362,               0.002872,               0.002872,               0.002872
                     38,                 1.3144,                 1.2072,                 1.2385,                0.71728,                0.59905,                0.66782,                0.40172,                 1.4846,                 1.2223,                 1.2311,               0.002674,               0.002674,               0.002674
                     39,                 1.3171,                 1.1964,                 1.2356,                0.72638,                 0.6139,                0.66661,                0.40416,                 1.4822,                 1.2123,                 1.2316,               0.002476,               0.002476,               0.002476
                     40,                   1.32,                 1.1896,                 1.2426,                0.73825,                0.61713,                0.67189,                  0.402,                 1.4836,                 1.2074,                 1.2349,               0.002278,               0.002278,               0.002278
                     41,                 1.3418,                 1.1241,                 1.2392,                0.73032,                0.62076,                0.67848,                 0.4108,                 1.4789,                 1.2031,                 1.2281,                0.00208,                0.00208,                0.00208
                     42,                 1.3207,                 1.1106,                 1.2214,                0.72381,                 0.6442,                0.67636,                0.41016,                 1.4813,                 1.2005,                 1.2279,               0.001882,               0.001882,               0.001882
                     43,                  1.319,                 1.0902,                 1.2237,                0.73031,                0.61315,                0.66822,                0.40839,                 1.4758,                 1.1962,                 1.2292,               0.001684,               0.001684,               0.001684
                     44,                 1.2975,                 1.0561,                  1.203,                0.70605,                0.62891,                0.66766,                0.41067,                 1.4713,                 1.1913,                 1.2247,               0.001486,               0.001486,               0.001486
                     45,                 1.2922,                 1.0378,                 1.1992,                0.71608,                0.64399,                0.67717,                0.41379,                 1.4668,                 1.1877,                 1.2217,               0.001288,               0.001288,               0.001288
                     46,                 1.2592,                 1.0216,                 1.1864,                0.71568,                0.64106,                0.68121,                0.41783,                 1.4674,                 1.1834,                 1.2214,                0.00109,                0.00109,                0.00109
                     47,                 1.2729,                  1.021,                 1.1927,                0.72101,                0.63752,                0.68383,                0.41803,                 1.4648,                 1.1794,                 1.2177,               0.000892,               0.000892,               0.000892
                     48,                 1.2513,                 1.0048,                 1.1806,                0.72725,                0.63933,                0.68299,                0.42199,                 1.4625,                 1.1777,                 1.2164,               0.000694,               0.000694,               0.000694
                     49,                 1.2671,                0.99615,                 1.1859,                0.72782,                0.64269,                0.68226,                0.42212,                 1.4629,                 1.1754,                 1.2159,               0.000496,               0.000496,               0.000496
                     50,                 1.2511,                0.98605,                 1.1811,                0.72242,                0.64086,                 0.6809,                0.42112,                  1.462,                 1.1758,                 1.2156,               0.000298,               0.000298,               0.000298
